source,target,weight
action,tom,0
tom,action,0
action,totally,0
totally,action,0
action,egg,0
egg,action,0
action,background,0
background,action,0
action,goes,0
goes,action,0
action,jackie,0
jackie,action,0
action,puns,0
puns,action,0
action,place,0
place,action,0
action,george,0
george,action,0
action,minute,0
minute,action,0
action,impressed,0
impressed,action,0
action,time,4
time,action,4
action,acting,0
acting,action,0
action,work,0
work,action,0
action,christine,0
christine,action,0
action,tech,0
tech,action,0
action,globally,0
globally,action,0
action,movement,0
movement,action,0
action,ceremony,0
ceremony,action,0
action,chip,0
chip,action,0
action,harmful,0
harmful,action,0
action,belong,0
belong,action,0
obama,obama,2
obama,obama,2
obama,devastate,0
devastate,obama,0
obama,tom,2
tom,obama,2
obama,totally,0
totally,obama,0
obama,egg,0
egg,obama,0
obama,background,0
background,obama,0
obama,goes,1
goes,obama,1
obama,jackie,0
jackie,obama,0
obama,puns,0
puns,obama,0
obama,place,9
place,obama,9
obama,george,1
george,obama,1
obama,minute,0
minute,obama,0
obama,impressed,1
impressed,obama,1
obama,time,25
time,obama,25
obama,acting,0
acting,obama,0
obama,work,54
work,obama,54
obama,christine,0
christine,obama,0
obama,tech,0
tech,obama,0
obama,globally,0
globally,obama,0
obama,movement,3
movement,obama,3
obama,ceremony,2
ceremony,obama,2
obama,chip,0
chip,obama,0
obama,harmful,1
harmful,obama,1
obama,belong,0
belong,obama,0
devastate,devastate,0
devastate,devastate,0
devastate,tom,0
tom,devastate,0
devastate,totally,0
totally,devastate,0
devastate,egg,0
egg,devastate,0
devastate,background,0
background,devastate,0
devastate,goes,0
goes,devastate,0
devastate,jackie,0
jackie,devastate,0
devastate,puns,0
puns,devastate,0
devastate,place,0
place,devastate,0
devastate,george,0
george,devastate,0
devastate,minute,0
minute,devastate,0
devastate,impressed,0
impressed,devastate,0
devastate,time,0
time,devastate,0
devastate,acting,0
acting,devastate,0
devastate,work,0
work,devastate,0
devastate,christine,0
christine,devastate,0
devastate,tech,0
tech,devastate,0
devastate,globally,0
globally,devastate,0
devastate,movement,0
movement,devastate,0
devastate,ceremony,0
ceremony,devastate,0
devastate,chip,0
chip,devastate,0
devastate,harmful,0
harmful,devastate,0
devastate,belong,0
belong,devastate,0
tom,tom,2
tom,tom,2
tom,totally,0
totally,tom,0
tom,egg,0
egg,tom,0
tom,background,0
background,tom,0
tom,goes,0
goes,tom,0
tom,jackie,0
jackie,tom,0
tom,puns,0
puns,tom,0
tom,place,0
place,tom,0
tom,george,0
george,tom,0
tom,minute,0
minute,tom,0
tom,impressed,0
impressed,tom,0
tom,time,0
time,tom,0
tom,acting,0
acting,tom,0
tom,work,0
work,tom,0
tom,christine,0
christine,tom,0
tom,tech,0
tech,tom,0
tom,globally,0
globally,tom,0
tom,movement,0
movement,tom,0
tom,ceremony,0
ceremony,tom,0
tom,chip,0
chip,tom,0
tom,harmful,0
harmful,tom,0
tom,belong,0
belong,tom,0
totally,totally,0
totally,totally,0
totally,egg,0
egg,totally,0
totally,background,0
background,totally,0
totally,goes,0
goes,totally,0
totally,jackie,0
jackie,totally,0
totally,puns,0
puns,totally,0
totally,place,0
place,totally,0
totally,george,0
george,totally,0
totally,minute,0
minute,totally,0
totally,impressed,0
impressed,totally,0
totally,time,1
time,totally,1
totally,acting,0
acting,totally,0
totally,work,0
work,totally,0
totally,christine,0
christine,totally,0
totally,tech,0
tech,totally,0
totally,globally,0
globally,totally,0
totally,movement,0
movement,totally,0
totally,ceremony,0
ceremony,totally,0
totally,chip,0
chip,totally,0
totally,harmful,0
harmful,totally,0
totally,belong,0
belong,totally,0
egg,egg,0
egg,egg,0
egg,background,0
background,egg,0
egg,goes,0
goes,egg,0
egg,jackie,0
jackie,egg,0
egg,puns,0
puns,egg,0
egg,place,0
place,egg,0
egg,george,0
george,egg,0
egg,minute,0
minute,egg,0
egg,impressed,0
impressed,egg,0
egg,time,0
time,egg,0
egg,acting,0
acting,egg,0
egg,work,0
work,egg,0
egg,christine,0
christine,egg,0
egg,tech,0
tech,egg,0
egg,globally,0
globally,egg,0
egg,movement,0
movement,egg,0
egg,ceremony,0
ceremony,egg,0
egg,chip,0
chip,egg,0
egg,harmful,0
harmful,egg,0
egg,belong,0
belong,egg,0
background,background,0
background,background,0
background,goes,0
goes,background,0
background,jackie,0
jackie,background,0
background,puns,0
puns,background,0
background,place,0
place,background,0
background,george,0
george,background,0
background,minute,0
minute,background,0
background,impressed,0
impressed,background,0
background,time,0
time,background,0
background,acting,0
acting,background,0
background,work,0
work,background,0
background,christine,0
christine,background,0
background,tech,0
tech,background,0
background,globally,0
globally,background,0
background,movement,0
movement,background,0
background,ceremony,0
ceremony,background,0
background,chip,0
chip,background,0
background,harmful,0
harmful,background,0
background,belong,0
belong,background,0
goes,goes,0
goes,goes,0
goes,jackie,0
jackie,goes,0
goes,puns,0
puns,goes,0
goes,place,0
place,goes,0
goes,george,0
george,goes,0
goes,minute,0
minute,goes,0
goes,impressed,0
impressed,goes,0
goes,time,0
time,goes,0
goes,acting,0
acting,goes,0
goes,work,0
work,goes,0
goes,christine,0
christine,goes,0
goes,tech,0
tech,goes,0
goes,globally,0
globally,goes,0
goes,movement,0
movement,goes,0
goes,ceremony,0
ceremony,goes,0
goes,chip,0
chip,goes,0
goes,harmful,0
harmful,goes,0
goes,belong,0
belong,goes,0
jackie,jackie,0
jackie,jackie,0
jackie,puns,0
puns,jackie,0
jackie,place,0
place,jackie,0
jackie,george,0
george,jackie,0
jackie,minute,0
minute,jackie,0
jackie,impressed,0
impressed,jackie,0
jackie,time,0
time,jackie,0
jackie,acting,0
acting,jackie,0
jackie,work,0
work,jackie,0
jackie,christine,0
christine,jackie,0
jackie,tech,0
tech,jackie,0
jackie,globally,0
globally,jackie,0
jackie,movement,0
movement,jackie,0
jackie,ceremony,0
ceremony,jackie,0
jackie,chip,0
chip,jackie,0
jackie,harmful,0
harmful,jackie,0
jackie,belong,0
belong,jackie,0
puns,puns,0
puns,puns,0
puns,place,0
place,puns,0
puns,george,0
george,puns,0
puns,minute,0
minute,puns,0
puns,impressed,0
impressed,puns,0
puns,time,0
time,puns,0
puns,acting,0
acting,puns,0
puns,work,0
work,puns,0
puns,christine,0
christine,puns,0
puns,tech,0
tech,puns,0
puns,globally,0
globally,puns,0
puns,movement,0
movement,puns,0
puns,ceremony,0
ceremony,puns,0
puns,chip,0
chip,puns,0
puns,harmful,0
harmful,puns,0
puns,belong,0
belong,puns,0
place,place,0
place,place,0
place,george,0
george,place,0
place,minute,0
minute,place,0
place,impressed,0
impressed,place,0
place,time,0
time,place,0
place,acting,0
acting,place,0
place,work,0
work,place,0
place,christine,0
christine,place,0
place,tech,0
tech,place,0
place,globally,0
globally,place,0
place,movement,0
movement,place,0
place,ceremony,0
ceremony,place,0
place,chip,0
chip,place,0
place,harmful,0
harmful,place,0
place,belong,0
belong,place,0
george,george,0
george,george,0
george,minute,0
minute,george,0
george,impressed,0
impressed,george,0
george,time,0
time,george,0
george,acting,0
acting,george,0
george,work,0
work,george,0
george,christine,0
christine,george,0
george,tech,0
tech,george,0
george,globally,0
globally,george,0
george,movement,0
movement,george,0
george,ceremony,0
ceremony,george,0
george,chip,0
chip,george,0
george,harmful,0
harmful,george,0
george,belong,0
belong,george,0
minute,minute,0
minute,minute,0
minute,impressed,0
impressed,minute,0
minute,time,0
time,minute,0
minute,acting,0
acting,minute,0
minute,work,0
work,minute,0
minute,christine,0
christine,minute,0
minute,tech,0
tech,minute,0
minute,globally,0
globally,minute,0
minute,movement,0
movement,minute,0
minute,ceremony,0
ceremony,minute,0
minute,chip,0
chip,minute,0
minute,harmful,0
harmful,minute,0
minute,belong,0
belong,minute,0
impressed,impressed,0
impressed,impressed,0
impressed,time,0
time,impressed,0
impressed,acting,0
acting,impressed,0
impressed,work,0
work,impressed,0
impressed,christine,0
christine,impressed,0
impressed,tech,0
tech,impressed,0
impressed,globally,0
globally,impressed,0
impressed,movement,0
movement,impressed,0
impressed,ceremony,0
ceremony,impressed,0
impressed,chip,0
chip,impressed,0
impressed,harmful,0
harmful,impressed,0
impressed,belong,0
belong,impressed,0
time,time,0
time,time,0
time,acting,0
acting,time,0
time,work,5
work,time,5
time,christine,0
christine,time,0
time,tech,0
tech,time,0
time,globally,0
globally,time,0
time,movement,0
movement,time,0
time,ceremony,0
ceremony,time,0
time,chip,2
chip,time,2
time,harmful,0
harmful,time,0
time,belong,0
belong,time,0
acting,acting,0
acting,acting,0
acting,work,0
work,acting,0
acting,christine,0
christine,acting,0
acting,tech,0
tech,acting,0
acting,globally,0
globally,acting,0
acting,movement,0
movement,acting,0
acting,ceremony,0
ceremony,acting,0
acting,chip,0
chip,acting,0
acting,harmful,0
harmful,acting,0
acting,belong,0
belong,acting,0
work,work,4
work,work,4
work,christine,0
christine,work,0
work,tech,0
tech,work,0
work,globally,0
globally,work,0
work,movement,1
movement,work,1
work,ceremony,0
ceremony,work,0
work,chip,0
chip,work,0
work,harmful,0
harmful,work,0
work,belong,0
belong,work,0
christine,christine,0
christine,christine,0
christine,tech,0
tech,christine,0
christine,globally,0
globally,christine,0
christine,movement,0
movement,christine,0
christine,ceremony,0
ceremony,christine,0
christine,chip,0
chip,christine,0
christine,harmful,0
harmful,christine,0
christine,belong,0
belong,christine,0
tech,tech,0
tech,tech,0
tech,globally,0
globally,tech,0
tech,movement,0
movement,tech,0
tech,ceremony,0
ceremony,tech,0
tech,chip,0
chip,tech,0
tech,harmful,0
harmful,tech,0
tech,belong,0
belong,tech,0
globally,globally,0
globally,globally,0
globally,movement,0
movement,globally,0
globally,ceremony,0
ceremony,globally,0
globally,chip,0
chip,globally,0
globally,harmful,0
harmful,globally,0
globally,belong,0
belong,globally,0
movement,movement,0
movement,movement,0
movement,ceremony,0
ceremony,movement,0
movement,chip,4
chip,movement,4
movement,harmful,0
harmful,movement,0
movement,belong,0
belong,movement,0
ceremony,ceremony,0
ceremony,ceremony,0
ceremony,chip,0
chip,ceremony,0
ceremony,harmful,0
harmful,ceremony,0
ceremony,belong,0
belong,ceremony,0
chip,chip,0
chip,chip,0
chip,harmful,0
harmful,chip,0
chip,belong,0
belong,chip,0
harmful,harmful,0
harmful,harmful,0
harmful,belong,0
belong,harmful,0
belong,belong,0
belong,belong,0
